model,Accuracy,Precision_macro,Recall_macro,F1_macro
Majority class baseline,0.32857142857142857,0.10952380952380952,0.3333333333333333,0.16487455197132617
LSTM signal classifier,0.4,0.41115779645191414,0.40024668516805423,0.3455476753349094
ResNet-style + LSTM fusion,0.3357142857142857,0.35827664399092973,0.3341042244835029,0.31271939736346516
