model,MSE,RMSE,MAE,MAPE_%,R2
Mean signal baseline,0.035918015986680984,0.1895204896223123,0.10041136294603348,158.28952026367188,-0.002717256546020508
Darkest-pixel trace baseline,0.004647284746170044,0.06817099637067103,0.039342306554317474,225.3831329345703,0.8702625036239624
CNN/U-Net-style digitizer,0.008549099788069725,0.09246134212777643,0.0595337450504303,186.6245880126953,0.7613362073898315
